                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.92023,                0.64867,                 1.0306,                0.88954,                0.75369,                0.82236,                0.49662,                 1.3482,                0.85224,                 1.1367,              0.0014951,              0.0014951,              0.0014951
                     54,                0.93154,                0.65857,                 1.0175,                0.85163,                0.70687,                0.80068,                0.48083,                 1.3704,                0.84628,                 1.1436,              0.0014852,              0.0014852,              0.0014852
                     55,                0.97673,                0.67385,                 1.0418,                0.85732,                0.68078,                0.80584,                0.47944,                 1.4044,                0.85866,                 1.1584,              0.0014753,              0.0014753,              0.0014753
                     56,                0.92628,                0.64606,                 1.0201,                0.82603,                0.72511,                0.81409,                  0.482,                 1.3724,                0.82722,                  1.127,              0.0014654,              0.0014654,              0.0014654
                     57,                0.90719,                0.61402,                 1.0071,                0.87191,                0.71429,                0.80963,                0.49149,                 1.4083,                0.80584,                 1.1455,              0.0014555,              0.0014555,              0.0014555
                     58,                0.92252,                0.63539,                 1.0352,                0.79761,                0.75862,                0.82179,                0.49462,                 1.3767,                0.82777,                 1.1277,              0.0014456,              0.0014456,              0.0014456
                     59,                 0.9495,                0.63737,                 1.0237,                0.84708,                0.73679,                0.82253,                0.50063,                 1.3349,                0.81403,                 1.1168,              0.0014357,              0.0014357,              0.0014357
                     60,                0.94101,                0.61322,                 1.0082,                0.91399,                0.74877,                0.85193,                0.51103,                 1.3531,                0.76896,                  1.112,              0.0014258,              0.0014258,              0.0014258
                     61,                0.92235,                0.61582,                 1.0053,                0.88312,                0.75369,                0.85271,                0.51697,                 1.3337,                  0.765,                 1.1115,              0.0014159,              0.0014159,              0.0014159
                     62,                0.91772,                0.62089,                 1.0128,                0.85448,                0.75205,                0.84163,                0.51896,                 1.3362,                0.76628,                 1.1208,               0.001406,               0.001406,               0.001406
                     63,                0.95299,                0.64105,                 1.0212,                0.85539,                0.72848,                0.80488,                0.49004,                 1.3491,                0.84655,                  1.135,              0.0013961,              0.0013961,              0.0013961
                     64,                0.88669,                0.60695,                 1.0173,                0.93572,                0.73892,                0.85256,                 0.5134,                 1.3442,                0.74103,                  1.117,              0.0013862,              0.0013862,              0.0013862
                     65,                 0.8857,                0.60048,                 1.0234,                0.82891,                0.73892,                 0.8293,                0.51407,                 1.3347,                 0.7809,                 1.1042,              0.0013763,              0.0013763,              0.0013763
                     66,                0.88937,                0.60222,                 1.0024,                0.87129,                0.73892,                0.82574,                0.50137,                 1.3628,                0.76474,                 1.1379,              0.0013664,              0.0013664,              0.0013664
                     67,                0.89108,                0.59675,                0.99464,                0.86042,                0.75919,                0.82952,                0.49499,                 1.3348,                0.81178,                 1.1328,              0.0013565,              0.0013565,              0.0013565
                     68,                 0.8618,                0.58271,                0.99253,                0.93533,                0.71248,                0.83033,                0.50903,                 1.3436,                0.77082,                  1.129,              0.0013466,              0.0013466,              0.0013466
                     69,                0.87076,                0.59031,                0.99109,                0.85972,                0.70936,                0.80525,                0.47907,                 1.3788,                0.78553,                 1.1228,              0.0013367,              0.0013367,              0.0013367
                     70,                0.86019,                0.59462,                 1.0176,                  0.895,                0.75578,                0.83271,                0.50966,                 1.3532,                 0.7828,                  1.124,              0.0013268,              0.0013268,              0.0013268
                     71,                 0.8761,                0.60147,                  1.011,                0.83283,                0.76078,                0.83217,                0.50317,                 1.3521,                0.75713,                 1.1157,              0.0013169,              0.0013169,              0.0013169
                     72,                0.85494,                 0.5737,                0.99583,                0.85203,                0.76589,                0.84101,                0.51911,                 1.3024,                0.74999,                 1.0944,               0.001307,               0.001307,               0.001307
                     73,                0.89838,                  0.585,                0.98943,                0.92858,                0.71429,                0.84034,                0.52005,                 1.3108,                0.73931,                 1.1026,              0.0012971,              0.0012971,              0.0012971
                     74,                0.85281,                0.57874,                0.98952,                0.91393,                0.73231,                0.84137,                0.52983,                 1.3582,                0.78532,                 1.1361,              0.0012872,              0.0012872,              0.0012872
                     75,                0.88393,                0.58534,                0.98162,                0.92414,                0.73892,                 0.8429,                0.52515,                 1.3257,                0.73938,                 1.1206,              0.0012773,              0.0012773,              0.0012773
                     76,                0.88062,                0.58226,                0.98217,                0.91711,                0.73892,                0.84613,                0.52172,                 1.3776,                0.72626,                  1.137,              0.0012674,              0.0012674,              0.0012674
                     77,                0.84857,                0.56156,                0.97538,                0.86695,                0.73826,                0.83015,                0.50651,                 1.3447,                0.76271,                 1.1043,              0.0012575,              0.0012575,              0.0012575
                     78,                0.84247,                 0.5697,                0.98745,                 0.8898,                0.71599,                0.82269,                0.51117,                 1.3415,                0.76936,                 1.1277,              0.0012476,              0.0012476,              0.0012476
