                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.83344,                0.69786,                 1.0437,                0.92836,                0.81241,                0.88992,                0.74661,                0.71544,                0.52371,                 0.9195,              2.593e-05,              2.593e-05,              2.593e-05
                     82,                 0.8221,                 0.6854,                 1.0185,                0.93075,                0.81288,                 0.8902,                0.74613,                0.71502,                0.52169,                0.91941,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     83,                0.84085,                0.70816,                 1.0201,                0.93077,                 0.8119,                0.89034,                0.74767,                0.71326,                0.51988,                0.91907,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     84,                  0.835,                0.71217,                  1.047,                0.93039,                0.81376,                0.89106,                0.74709,                0.71222,                0.51989,                0.91864,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     85,                0.84906,                0.71254,                 1.0344,                0.92989,                0.81239,                0.89014,                0.74461,                  0.712,                 0.5175,                0.91839,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     86,                0.84686,                 0.6997,                 1.0189,                0.92829,                0.81155,                 0.8903,                0.74651,                0.71151,                0.51788,                0.91776,              2.004e-05,              2.004e-05,              2.004e-05
                     87,                0.86086,                0.71169,                 1.0473,                0.92397,                0.81328,                0.88968,                0.74459,                0.71056,                0.51735,                0.91735,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     88,                0.78928,                0.67744,                 1.0099,                0.92064,                0.81572,                0.89015,                0.74604,                0.70931,                0.51701,                0.91715,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     89,                0.81722,                 0.6774,                 1.0158,                0.92182,                0.81313,                0.88953,                0.74358,                 0.7076,                0.51583,                0.91677,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     90,                0.82096,                0.68216,                 1.0344,                0.92427,                0.81103,                0.89008,                0.74645,                0.70599,                0.51525,                0.91636,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     91,                0.88402,                0.78904,                 1.0309,                0.92153,                0.81069,                0.89097,                 0.7407,                0.71056,                0.52014,                0.91729,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     92,                0.87862,                0.73345,                 1.0165,                 0.9251,                0.80753,                0.89133,                0.73729,                0.71442,                0.52392,                0.91775,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     93,                0.87561,                0.71786,                 1.0078,                0.89685,                0.82313,                0.89052,                0.73623,                0.71888,                0.52781,                 0.9192,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     94,                 0.8528,                0.70001,                 1.0004,                0.88962,                 0.8224,                0.88964,                0.73607,                0.72494,                0.53427,                0.92078,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     95,                0.87048,                0.73897,                 1.0197,                 0.8856,                0.82973,                0.89096,                0.73784,                0.72872,                0.53778,                0.92203,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     96,                0.83868,                0.67555,                  1.018,                 0.8829,                0.82765,                0.89149,                0.73691,                0.73016,                0.53867,                0.92223,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     97,                0.84586,                0.69774,                0.99165,                 0.8759,                0.81839,                0.87988,                0.73411,                0.73616,                0.54442,                0.92427,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     98,                0.81852,                0.64698,                 1.0063,                0.87979,                0.81861,                0.88034,                0.73402,                 0.7361,                0.54439,                0.92428,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     99,                0.80783,                0.66149,                0.97959,                0.88239,                0.81697,                0.87909,                0.73213,                0.73787,                0.54574,                0.92492,             4.7243e-06,             4.7243e-06,             4.7243e-06
                    100,                 0.7887,                0.65942,                  1.005,                0.89396,                0.82317,                0.89005,                0.73379,                0.73665,                0.54576,                0.92467,             3.5462e-06,             3.5462e-06,             3.5462e-06
